date,symbol,supply_apy,borrow_apy,utilization
2025-03-07,USDT,3.3528056276683316,6.036848468462457,60.06112099999999
2025-03-14,USDT,2.7126530550089227,5.2770525815968385,55.207894
2025-03-21,USDT,2.8942464591654757,4.766606129682537,65.847917
2025-03-28,USDT,2.3745252865426987,4.317475895448145,59.410814
2025-04-04,USDT,2.6635931940279063,4.39333599924045,65.763484
2025-04-11,USDT,1.753148485112006,3.564263635791721,52.539311
2025-04-18,USDT,2.0766593691230812,3.8792083166302533,57.622834
2025-04-25,USDT,2.5516332280863425,4.300011266411284,64.424477
2025-05-02,USDT,2.4966604272131465,4.253438979347625,63.953736000000006
2025-05-09,USDT,2.8256481529157984,4.332366900642616,71.375279
2025-05-16,USDT,4.394577166164551,5.402872713979794,90.306321
2025-05-23,USDT,3.683663979637545,4.946593134254281,82.322345
2025-05-30,USDT,3.79058141967959,5.017866490416542,83.53769199999999
2025-06-06,USDT,3.754401846949771,4.993862193871726,83.113258
2025-06-13,USDT,3.7126510021030152,4.886977624864454,84.0372
2025-06-20,USDT,3.2069501018177933,4.615431158906621,76.547841
2025-06-27,USDT,2.70120738979618,4.235894558413698,69.974044
2025-07-04,USDT,3.2851956119065857,4.671397170907757,77.540096
2025-07-11,USDT,4.2412238721391455,5.307766083127138,88.62383200000001
2025-07-18,USDT,3.587036850205499,4.881284216186465,81.189638
2025-07-25,USDT,2.9655391550672756,4.438313829961178,73.61592399999999
2025-08-01,USDT,3.503343874961378,4.824002902191014,80.29995100000001
2025-08-08,USDT,3.7801519702985518,5.010958502793396,83.548725
2025-08-15,USDT,5.851274990710011,6.903694099870567,94.25913299999999
2025-08-22,USDT,4.9998990468086975,6.198007744834736,89.455295
2025-08-29,USDT,3.6787540810624706,5.37392855593398,75.449065
2025-09-05,USDT,4.606988891553249,6.013815394401641,84.771735
2025-09-12,USDT,4.637418088571874,6.033643355766562,85.076684
2025-09-19,USDT,5.066172002862752,6.306399443067079,89.067938
2025-09-26,USDT,5.099857389226631,6.327330586830435,89.328307
2025-10-03,USDT,4.690241166430121,6.067909530058169,85.46186300000001
2025-10-10,USDT,4.677536157979262,6.059688295284796,85.299912
2025-10-17,USDT,3.786161183112366,5.45181885945388,76.250116
2025-10-24,USDT,3.7825773583917623,5.235458533987275,79.507428
2025-10-31,USDT,3.4594883124938547,5.00687482769569,75.838588
2025-11-07,USDT,4.874330651649602,5.943173243511624,90.862934
2025-11-14,USDT,3.143371104093024,4.772639416040381,72.034033
2025-11-21,USDT,3.1063751616692645,4.7444706544658946,71.49514
2025-11-28,USDT,3.0747570412075187,4.519308005014894,74.461612
2025-12-05,USDT,3.0168921746087185,4.47658065478217,73.75195599999999
2025-12-12,USDT,3.9045693179672853,5.092759150594369,84.529884
2025-12-19,USDT,2.487490628783432,4.064875433036956,66.460129
2025-12-26,USDT,2.3909232167259495,3.9851926837211273,65.058135
2026-01-02,USDT,2.7924085042004223,4.306812906956294,70.638528
2026-01-09,USDT,2.533094939486472,3.9110729530650277,70.55573000000001
2026-01-16,USDT,2.8355409651534833,4.137977755725033,74.94804
2026-01-23,USDT,3.3865122144269897,4.522166312159693,82.396747
2026-01-30,USDT,2.7140917636706834,4.048390815796639,73.24868599999999
2026-02-06,USDT,2.0965966794246307,3.5581780190839636,63.340231
2026-02-13,USDT,1.881907197817943,3.3710819437959194,59.756891
2026-02-20,USDT,2.2956983266387385,3.723296995951612,66.324532
2026-02-27,USDT,1.9305883530229342,3.4144052454193425,60.471757000000004
2026-03-06,USDT,2.2060735700222387,3.6498940258592865,64.90038299999999
2026-03-13,USDT,1.7345299732672281,2.8947171924841437,64.358844
2026-03-20,USDT,2.0144128327010566,3.1195325681419566,69.675829
2026-03-27,USDT,1.9147057932163425,3.041349229127638,67.809316
2026-04-03,USDT,2.001973692178458,3.1098859747305605,69.415281
2026-04-10,USDT,2.2269806667573078,3.279994010508632,73.61839
2026-04-17,USDT,2.4202116870325288,3.41933383844103,77.010571
2026-04-24,USDT,7.9777878403454165,9.216891837940198,96.40648
2026-05-01,USDT,3.2805434305795247,3.980959168312983,90.594365
2026-05-08,USDT,5.0148474593633,5.955321915365629,93.108945
2026-05-15,USDT,2.7653114346514553,3.6549955459381436,81.521034
2026-05-18,USDC,3.7721976414938005,4.534709455284804,92.155236
2026-05-18,USDT,2.7187616148360476,3.6241018313608735,80.77096
